,PC No,PC Name,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),State
429,15,Aligarh,5,2129,1887127,886,20,14,12,1163950,61.68,Uttar Pradesh
430,16,Hathras,5,2203,1864320,846,11,8,6,1151461,61.76,Uttar Pradesh
431,17,Mathura,5,2014,1807893,898,25,13,11,1104325,61.08,Uttar Pradesh
432,18,Agra,5,2178,1937690,890,18,9,7,1145629,59.12,Uttar Pradesh
433,19,Fatehpur Sikri,5,1967,1718837,874,25,15,14,1038460,60.42,Uttar Pradesh
434,20,Firozabad,5,2040,1790510,878,22,6,4,1076574,60.13,Uttar Pradesh
435,21,Mainpuri,5,2179,1723236,791,16,12,10,978261,56.77,Uttar Pradesh
436,22,Etah,5,1998,1621295,811,17,14,12,1000352,61.7,Uttar Pradesh
437,23,Badaun,5,2088,1891576,906,25,9,7,1081474,57.17,Uttar Pradesh
438,24,Aonla,5,2038,1785605,876,24,14,12,1052902,58.97,Uttar Pradesh
439,25,Bareilly,5,1890,1797655,951,28,16,14,1068956,59.46,Uttar Pradesh
440,26,Pilibhit,5,1944,1761207,906,16,13,11,1187225,67.41,Uttar Pradesh
441,27,Shahjahanpur,6,2424,2114201,872,16,14,12,1187133,56.15,Uttar Pradesh
442,28,Kheri,5,1868,1770699,948,16,15,13,1136772,64.2,Uttar Pradesh
443,29,Dhaurahra,5,1911,1644674,861,22,8,6,1063953,64.69,Uttar Pradesh
444,30,Sitapur,5,1985,1666126,839,20,12,10,1065222,63.93,Uttar Pradesh
445,31,Hardoi,5,2118,1807119,853,14,11,9,1057847,58.54,Uttar Pradesh
446,32,Misrikh,5,2172,1796932,827,13,13,11,1027382,57.17,Uttar Pradesh
447,33,Unnao,6,2522,2191465,869,19,9,7,1237551,56.47,Uttar Pradesh
448,34,Mohanlalganj,5,2151,2023431,941,25,12,10,1270580,62.79,Uttar Pradesh
449,35,Lucknow,5,1841,2040367,1108,51,15,13,1117630,54.78,Uttar Pradesh
450,36,Rae Bareli,5,1883,1702248,904,34,15,13,959022,56.34,Uttar Pradesh
451,37,Amethi,5,1963,1743515,888,36,27,25,942956,54.08,Uttar Pradesh
452,38,Sultanpur,5,2118,1775196,838,23,15,13,1000764,56.37,Uttar Pradesh
